ID	Slug FR	Titre FR	Slug EN	Titre EN
94	petites-patates-aux-champignons-et-beurre-a-lail	Petites Patates aux Champignons et Beurre à l'Ail	garlic-butter-mushroom-potatoes	Little Potatoes with Mushrooms and Garlic Butter
28	pithiviers-feuillete	Pithiviers feuilleté	pithivier-pastry	Flaky Pithiviers
70	pizza-aux-legumes	Pizza aux légumes grillés et mozzarella	vegetable-pizza	Grilled Vegetable and Mozzarella Pizza
52	poitrine-de-poulet-a-lair-fryer	Poitrine de Poulet à l’Air Fryer	air-fryer-chicken-breast	Chicken Breast in Air Fryer
41	poitrine-de-poulet-au-four	Poitrine de poulet au four (Délicieux)	baked-chicken-breast	Oven-Baked Chicken Breast (Delicious)
80	poutrine-de-poulet-pommes	Poitrine de Poulet aux Pommes, Prosciutto et Fromage	apple-chicken-breast	Chicken Breast with Apples, Prosciutto and Cheese
116	poitrine-poulet-mijoteuse	Poitrine Poulet Mijoteuse Crème Champignon	slow-cooker-chicken-breast	Slow-Cooked Chicken Breast Cream Mushroom Recipe
146	poivrons-farcis-bacon	Poivrons farcis de boeuf, peperoni et bacon	bacon-stuffed-peppers	Stuffed Bell Peppers with Beef, Pepperoni and Bacon
156	potage-aux-asperges	Potage aux Asperges	asparagus-soup	Soup with Fresh Asparagus
2132	potage-aux-carottes-onctueux	Potage aux carottes onctueux et réconfortant	carrot-soup	Creamy Carrot Soup
79	potage-aux-poireaux	Potage aux poireaux onctueux et savoureux	leek-soup	Oniony and Savory Leek Soup
115	potage-carotte-patate-douce	Potage Carotte Patate Douce	carrot-sweet-potato-soup	Carrot Sweet Potato Soup
117	potage-de-courge-butternut	Potage de Courge Butternut	butternut-squash-soup	Butternut Squash Soup
30	poulet-au-curry	Poulet au curry	curry-chicken	Chicken Curry
62	poulet-au-lait-de-coco	Poulet au lait de coco	coconut-chicken	Chicken in Coconut Milk
95	poulet-aux-canneberges	Poulet aux canneberges	cranberry-chicken	Chicken with Cranberries
64	poulet-barbecue	Poulet BBQ Parfait	barbecue-chicken	Perfect BBQ Chicken
14	poulet-chorizo-cremeux	Poulet et chorizo crémeux au basilic et citron	creamy-chorizo-chicken	Creamy Chicken and Chorizo with Basil and Lemon
99	poulet-general-tao	Poulet Général Tao Maison facile et rapide	general-tao-chicken	Homemade General Tao Chicken Easy and Quick
10	poulet-mole	Poulet Mole (Mole Poblano Mexicain)	chicken-mole	Chicken Mole (Mexican Mole Poblano)
83	poutine-mexicaine	Poutine mexicaine épicée	mexican-poutine	Spicy Mexican Poutine
82	quesadillas-au-poulet	Quesadillas au poulet et fromage en grain	chicken-quesadillas	Chicken and Cheese Grain Quesadillas
37	ramen-au-poulet	Ramen au poulet, champignons et œuf coulant	chicken-ramen	Ramen with Chicken, Mushrooms and Running Egg
56	crepe-traditionnelle	Recette Crêpe Traditionnelle Facile	traditional-crepe	Traditional Homemade Crepe Recipe
50	pouding-aux-bleuets	Recette de pouding aux bleuets maison facile	blueberry-pudding	Recipe for Blueberry Pudding at Home Easy
90	pain-de-viande	Recette Pain de Viande : Un Plat Savoureux et Réconfortant	meatloaf	Recipe for Meatloaf: A Savory and Comforting Dish
111	relish-maison	Relish Maison Rapide : L'Inoubliable Condiment Facile	homemade-relish	Quick Homemade Relish : The Unforgettable Easy Condiment
102	rice-krispies	Rice Krispies	rice-krispies	Timeless Delight: Rice Krispies
75	risotto-aux-champignons-cremeux	Risotto aux champignons crémeux	creamy-mushroom-risotto	Creamy Mushroom Risotto
120	riz-basmati-epice-et-parfume	Riz Basmati Épicé et Parfumé	spiced-basmati-rice	Spiced and Fragrant Basmati Rice
54	roti-de-palette	Rôti de palette à la dijon et ail	blade-roast	Roast Pork Shoulder with Dijon and Garlic
2136	roti-de-porc-ail-romarin	Rôti de porc à l’ail et au romarin	garlic-rosemary-pork-roast	Rôti de porc à l’ail et au romarin
36	salade-cesar-poulet-bbq	Salade César au Poulet BBQ – Un délice!	homemade-bbq-chicken-caesar-salad-a-delight	Homemade BBQ Chicken Caesar Salad - A Delight!
57	salade-de-brocoli	Salade de brocoli	broccoli-salad	Broccoli Salad
21	salade-de-chou-rouge	Salade de chou rouge croquante	red-cabbage-slaw	Crisp Red Cabbage Salad
4	salade-de-cocombre	Salade de cocombre maison : la recette idéale	cucumber-salad	Easy recipe for cucumber salad: the ideal recipe
7	salade-de-kale-aux-raisins	Salade de kale aux raisins	kale-grape-salad	Kale Salad with Raisins
6	salade-de-macaroni-maman	Salade de Macaroni (version maman Ginette Bilodeau)	moms-macaroni-salad	Salad of Macaroni (version maman Ginette Bilodeau)
60	salade-de-macaroni-jambon	Salade de macaroni jambon	ham-macaroni-salad	Macaroni Ham Salad
74	salade-de-quinoa	Salade de quinoa et légumes croquants	quinoa-salad	Quinoa and Crunchy Vegetable Salad
137	salade-grecque-delicieuse	Salade Grecque délicieuse	greek-salad	Delicious Greek Salad
145	sandwitch-de-poulet-pesto	Sandwitch de Poulet Pesto	pesto-chicken-sandwich	Chicken Pesto Sandwich
45	sauce-bbq-maison	Sauce Barbecue Maison Facile et Rapide	homemade-bbq-sauce	Easy and Quick Homemade Barbecue Sauce
110	sauce-bechamel	Sauce béchamel facile et traditionnelle.	easy-and-traditional-homemade-bechamel-sauce	Easy and Traditional Homemade Béchamel Sauce
34	sauce-cremeuse-a-la-lime	Sauce crémeuse à la lime	creamy-lime-sauce	Creamy Lime Sauce
107	sauce-piquante-habanero	Sauce Piquante Habanero Maison : Facile pour Crevettes	habanero-hot-sauce	Homemade Spicy Habanero Sauce: Easy for Shrimp
13	sauce-pizza-maison	Sauce Pizza Maison – Recette simple avec tomates du jardin	homemade-pizza-sauce	Homemade Pizza Sauce Recipe - Simple with Garden Tomatoes
92	saucisses-dans-le-sirop	Saucisses dans le sirop – Saveur cabane à sucre	sausages-in-maple-syrup	Sausages in Maple Syrup – Cabin Sugar Flavor
63	saumon-a-la-creme	Saumon à la crème	creamy-salmon	Salmon in Cream
5	sloppy-joe	Sloppy Joe Recette Maison (boeuf ou porc haché)	sloppy-joe	Sloppy Joe Home-made Recipe (beef or pork ground)
27	smash-burgers	Smash Burgers Maison	smash-burgers	Smash Burgers House Style
153	soupe-a-loignon-francaise	Soupe à l'oignon française maison – Simple et délicieuse	french-onion-soup	French Onion Soup at Home - Simple and Delicious
97	soupe-au-chou	Soupe au chou : la recette traditionnelle et savoureuse	cabbage-soup	Traditional and Flavorful Cabbage Soup
100	soupe-aux-legumes	Soupe aux légumes facile – Un classique réconfortant	vegetable-soup	Easy Vegetable Soup – A Comforting Classic
61	soupe-aux-pois	Soupe aux pois	pea-soup	Pea Soup
139	soupe-aux-pois-mijoteuse	Soupe aux Pois à la Mijoteuse	slow-cooker-pea-soup	Pea Soup with Ham Hock
73	soupe-de-lentilles-corail-epicee	Soupe de lentilles corail épicée	spicy-red-lentil-soup	Spiced Coral Lentil Soup
12	soupe-de-tomates-roties	Soupe de Tomates Rôties	roasted-tomato-soup	Roasted Tomato Soup
152	soupe-minestrone	Soupe Minestrone Traditionnelle Italienne	minestrone-soup	Traditional Italian Minestrone Soup
59	soupe-poulet-et-nouilles	Soupe poulet et nouilles	chicken-noodle-soup	Chicken and Noodle Soup
65	soupe-won-ton	Soupe won ton	wonton-soup	Wonton Soup
26	sucre-d-orge	Sucre d'orge maison	candy-cane	Homemade Caramel Corn Syrup
72	tarte-aux-legumes-du-soleil	Tarte aux légumes du soleil	summer-vegetable-tart	Sun-Kissed Vegetable Tart
127	tarte-de-noel	Tarte de Noël	christmas-pie	Christmas Tart
48	tartelettes-aux-pommes	Tartelettes aux pommes maison	apple-tarts	Homemade Apple Tartlettes
2135	tourtiere-du-quebec-porc-boeuf	Tourtière du Québec traditionnelle au porc et au bœuf	quebec-pork-beef-tourtiere	Tourtière du Québec traditionnelle au porc et au bœuf
78	tourtiere-quebecoise	Tourtière Québécoise	quebec-meat-pie	Québécois Pie
113	croustade-aux-pommes	Traditionnelle de Croustade aux Pommes	apple-crisp	Traditional Apple Crostade
140	rwandaise-brochettes-de-viandes-grillees	Traditionnelle Rwandaise : Brochettes de viandes grillées	rwandan-grilled-meat-skewers	Traditional Rwandan: Grilled Meat Skewers
29	trempette-fromage-a-la-creme	Trempette (Fromage à la crème, légumes & Salsa)	homemade-creamy-dip-veggies-salsa	Homemade Creamy Dip (Veggies & Salsa)
39	trempette-au-ketchup	Trempette au Ketchup (Délicieux)	ketchup-dip	Delicious Ketchup Dip
89	trempette-aux-epinards	Trempette aux Épinards : Crémeuse et Savoureuse	spinach-dip	Spinach Dip: Creamy and Savory
147	gateau-blanc-facile	Une belle recette de gâteau blanc facile de Maman 1967	easy-white-cake	Beautiful Easy Homemade White Cake Recipe by Maman 1967
42	vol-au-vent	Vol-au-Vent au Poulet	chicken-in-vol-au-vent-pastry	Chicken in Vol-au-Vent Pastry
